ID,Last Name,First Name,Program,DOB,Age,Gender,City,Sub-program,Worker,Level of Support,Admission Date,Days Elapsed,Location/County,Referral Source
CLI001958,Clark,Scott,Open House Drop-In/MHJ (Case Management),1982-09-10,43,Male,,,,,2015-03-04,3921,Toronto,"Self,  Family or Friend"
CLI001959,Ortiz,Pamela,ETS Employment and Training Services,1982-10-23,43,Male,,,,,2019-10-25,2225,Toronto,"Self,  Family or Friend"
CLI001960,Ortiz,Daniel,Bridging Steps to Support,1948-08-10,77,Male,Toronto,,,,2025-06-30,150,Toronto,External Source
CLI001961,Torres,Deborah,Intensive Outreach Team (Downtown),1978-07-26,47,Male,,,,,2024-01-08,689,Toronto,The Access Point
CLI001962,Parker,Jack,ETS Unassisted Services,1900-01-01,125,Do not know,,,,,2018-08-02,2674,Toronto,"Self,  Family or Friend"
CLI001963,Roberts,Gregory,HOP - Hostel Outreach Housing Support,1995-02-19,30,Female,Toronto,,,,2025-06-23,157,Toronto,Internal Source
CLI001964,Flores,Raymond,HOP - Hostel Outreach Program,1995-02-19,30,Female,Toronto,,,,2022-05-30,1277,Toronto,"Other institution (e.g. rehabilitation,  long term care) "
CLI001965,Ward,Ryan,CDSS Coordinated Access,1995-02-19,30,Female,Toronto,,,,2023-10-20,769,Toronto,External Source
CLI001966,Martinez,Amy,ETS TESS - Career Exploration,1968-06-08,57,Male,,,,,2021-06-22,1619,Toronto,"Self,  Family or Friend"
CLI001967,Mitchell,Deborah,ETS SSTEP,1964-07-31,61,Male,,,,,2022-06-21,1255,Toronto,Internal Source
CLI001968,Baker,Robert,ETS Path to Employment,1964-07-31,61,Male,,,,,2022-06-21,1255,Toronto,"Self,  Family or Friend"
CLI001969,Sanders,Gregory,ETS Employment and Training Services,1964-07-31,61,Male,,,,,2022-06-21,1255,Toronto,"Self,  Family or Friend"
CLI001970,Adams,Nicholas,Intensive Outreach Team (Downtown),1975-08-28,50,Male,Toronto,,,,2023-09-05,814,Toronto,"Self,  Family or Friend"
CLI001971,Edwards,Richard,ETS Employment Ontario,1971-07-19,54,Do not know,,,,,2024-08-23,461,Toronto,"Self,  Family or Friend"
CLI001972,Phillips,Alexander,ETS Employment and Training Services,1971-07-19,54,Do not know,,,,,2024-08-23,461,Toronto,"Self,  Family or Friend"
CLI001973,Hall,Donna,Support to Daily Living,1975-11-11,50,Female,,,,,2012-08-23,4844,Toronto,"Other institution (e.g. rehabilitation,  long term care) "
CLI001974,Hughes,Daniel,1Housing - 145 Queen,1966-03-14,59,Male,Toronto,,,,2020-02-20,2107,Toronto,"Self,  Family or Friend"
CLI001975,Morris,Pamela,HOP - Hostel Outreach Program,1999-05-22,26,Female,Toronto,,,,2025-11-13,14,Toronto,External Source
CLI001976,Johnson,Nathan,Short Term Concurrent Disorder Case Management,1985-10-09,40,Male,Toronto,,,Medium,2025-01-02,329,Toronto,External Source
CLI001977,Howard,Sarah,ETS Employment and Training Services,1981-06-26,44,Female,,,,,2020-10-06,1878,Toronto,"Self,  Family or Friend"
CLI001978,Perry,Patrick,ETS Employment and Training Services,1968-07-20,57,Male,,,,,2019-09-13,2267,Toronto,"Self,  Family or Friend"
CLI001979,Simmons,Robert,ETS Employment Ontario,1998-09-21,27,Male,,,,,2023-10-10,779,Toronto,"Self,  Family or Friend"
CLI001980,Torres,Gary,ETS Employment Ontario Follow Up,1974-12-30,50,Male,,,,,2020-09-03,1911,Toronto,"Self,  Family or Friend"
CLI001981,Brooks,Stephanie,1Housing - 20 Palace,1997-06-17,28,Female,,,,,2023-08-25,825,Toronto,"Self,  Family or Friend"
CLI001982,Wilson,Ashley,Court Diversion - Ontario Court of Justice 10 Armoury,1998-08-13,27,Male,,,,,2023-12-04,724,Toronto,Other
CLI001983,Cox,Jason,ETS Employment Ontario Follow Up,1970-03-08,55,Female,,,,,2020-09-03,1911,Toronto,"Self,  Family or Friend"
CLI001984,Myers,Lisa,Court Dual Diagnosis Justice Program,1941-11-02,84,Male,,,,,2023-09-19,800,Toronto,External Source
CLI001985,Campbell,Betty,ETS Employment and Training Services,1974-07-14,51,Female,,,,,2020-07-24,1952,Toronto,"Self,  Family or Friend"
CLI001986,Bailey,Nicole,ETS Employment Ontario,1974-07-14,51,Female,,,,,2020-07-27,1949,Toronto,"Self,  Family or Friend"
CLI001987,Turner,Samuel,ETS Employment Ontario,1995-09-26,30,Female,,,,,2021-05-05,1667,Toronto,Internal Source
CLI001988,Hall,Thomas,ETS Path to Employment,1995-09-26,30,Female,,,,,2021-05-12,1660,Toronto,Internal Source
CLI001989,Richardson,Jacob,ETS SSTEP,1995-09-26,30,Female,,,,,2021-05-05,1667,Toronto,Internal Source
CLI001990,Garcia,Jacob,ETS Employment and Training Services,1995-09-26,30,Female,,,,,2021-05-05,1667,Toronto,"Self,  Family or Friend"
CLI001991,Foster,Ronald,ETS Employment and Training Services,1965-12-30,59,Female,,,,,2021-05-05,1667,Toronto,"Self,  Family or Friend"
CLI001992,Wright,Sharon,ETS Employment Ontario,1965-12-30,59,Female,,,,,2021-05-05,1667,Toronto,Internal Source
CLI001993,Garcia,Kathleen,ETS SSTEP,1965-12-30,59,Female,,,,,2021-05-05,1667,Toronto,Internal Source
CLI001994,Miller,Elizabeth,ETS Employment and Training Services,1990-12-28,34,Female,,,,,2021-05-14,1658,Toronto,"Self,  Family or Friend"
CLI001995,Brooks,Evelyn,STOP,1951-09-01,74,Male,,,,,2010-07-15,5614,Toronto,"Other institution (e.g. rehabilitation,  long term care) "
CLI001996,Rogers,Michael,HOP-Housing Stabilization,1956-05-22,69,Female,Toronto,,,,2023-07-12,869,Toronto,Internal Source
CLI001997,Mendoza,Patricia,ETS TESS - Career Exploration,1977-07-01,48,Male,,,,,2019-08-14,2297,Toronto,"Other institution (e.g. rehabilitation,  long term care) "
CLI001998,Hernandez,Matthew,ETS Employment and Training Services,1977-07-01,48,Male,,,,,2019-03-24,2440,Toronto,"Self,  Family or Friend"
CLI001999,Moore,Emily,ETS Employment and Training Services,1988-10-08,37,Female,,,,,2019-08-06,2305,Toronto,"Self,  Family or Friend"
CLI002000,Morgan,Julie,ETS Employment Ontario Follow Up,1988-10-08,37,Female,,,,,2020-03-26,2072,Toronto,"Self,  Family or Friend"
CLI002001,Martin,Sarah,CSS East,1983-02-13,42,Male,Scarborough,,,,2023-09-25,794,Toronto,"Other institution (e.g. rehabilitation,  long term care) "
CLI002002,Powell,Steven,Court Diversion - Old City Hall,1960-03-03,65,Female,,,,,2014-02-25,4293,Toronto,Other
CLI002003,Morris,John,1Housing - Housing Help,1980-11-04,45,Male,,,,Low,2025-05-22,189,Toronto,"Self,  Family or Friend"
CLI002004,Peterson,Angela,ETS Employment and Training Services,1972-04-18,53,Male,,,,,2021-09-23,1526,Toronto,"Self,  Family or Friend"
CLI002005,Rivera,Jason,ETS Wrap Around Supports,1972-04-18,53,Male,,,,,2021-09-23,1526,Toronto,"Self,  Family or Friend"
CLI002006,Green,Brian,1Housing - 20 Palace,1968-04-04,57,Female,,,,,2023-08-22,828,Toronto,"Self,  Family or Friend"
CLI002007,Hill,James,1Housing - 20 Palace,1964-07-05,61,Male,,,,,2022-01-18,1409,Toronto,"Self,  Family or Friend"
CLI002008,Barnes,Anna,ETS Employment and Training Services,1975-02-13,50,Do not know,,,,,2024-03-14,623,Toronto,"Self,  Family or Friend"
CLI002009,Roberts,Janet,1Housing - Housing Help,1978-06-20,47,Do not know,,,,Low,2025-05-08,203,Toronto,"Self,  Family or Friend"
CLI002010,Gray,Maria,Bridging Housing and Community Stabilization,1962-05-17,63,Male,,,,,2018-07-18,2689,Toronto,"Self,  Family or Friend"
CLI002011,Diaz,Eric,Court Diversion - Old City Hall,1999-09-07,26,Male,,,,,2021-09-15,1534,Toronto,Other
CLI002012,Williams,Pamela,291 George DROP-IN,1956-04-21,69,Male,,,,,2018-06-06,2731,Toronto,"Self,  Family or Friend"
CLI002013,Gutierrez,Joshua,ETS Employment and Training Services,1984-11-01,41,Do not know,,,,,2024-08-27,457,Toronto,"Self,  Family or Friend"
CLI002014,Phillips,William,ETS Employment and Training Services,2000-08-27,25,Do not know,,,,,2024-06-17,528,Toronto,"Self,  Family or Friend"
CLI002015,Castillo,Margaret,1Housing - 145 Queen,1964-05-08,61,Female,Toronto,,,,2020-01-23,2135,Toronto,"Self,  Family or Friend"
CLI002016,Adams,Virginia,Open House Drop-In/MHJ (Case Management),1964-05-08,61,Female,Toronto,,,,2021-10-25,1494,Toronto,"Self,  Family or Friend"
CLI002017,Brooks,Christine,1Housing - Kingston Road (4626 & 4628),1982-10-16,43,Do not know,,,,,2022-09-02,1182,Toronto,External Source
CLI002018,Kim,Donna,Bridging Streets to Homes Follow-up,1957-12-26,67,Female,,,,,2020-04-20,2047,Toronto,Internal Source
CLI002019,Smith,Dennis,1Housing - 704 Mortimer,1981-04-10,44,Female,,,,,2024-11-21,371,Toronto,"Self,  Family or Friend"
CLI002020,Mitchell,Gregory,ETS Employment and Training Services,1991-10-14,34,Male,,,,,2024-03-15,622,Toronto,"Self,  Family or Friend"
CLI002021,Russell,George,Court Dual Diagnosis Justice Program,1994-06-10,31,Male,Toronto,,,High,2025-04-09,232,Toronto,"Self,  Family or Friend"
CLI002022,Ramos,Aaron,1Housing - 20 Palace,1983-01-17,42,Do not know,,,,,2022-02-02,1394,Toronto,"Self,  Family or Friend"
CLI002023,Allen,Eric,Bridging Steps to Support,1955-07-08,70,Female,Toronto,,,,2025-06-30,150,Toronto,"Self,  Family or Friend"
CLI002024,Brooks,Zachary,ETS Employment and Training Services,1977-03-10,48,Do not know,,,,,2019-08-15,2296,Toronto,"Self,  Family or Friend"
CLI002025,Williams,Scott,ETS Employment Ontario Follow Up,1977-03-10,48,Do not know,,,,,2020-07-30,1946,Toronto,"Self,  Family or Friend"
CLI002026,Ramos,Laura,Lawrence East Partnership,1972-12-20,52,Male,,,,Low,2024-04-24,582,Toronto,"Self,  Family or Friend"
CLI002027,Young,Pamela,ETS Employment Ontario,1989-09-13,36,Male,,,,,2023-03-09,994,Toronto,"Self,  Family or Friend"
CLI002028,Carter,Linda,ETS Employment and Training Services,1989-09-13,36,Male,,,,,2023-03-09,994,Toronto,"Self,  Family or Friend"
CLI002029,Allen,Christina,CSS East,1989-11-25,36,Female,Toronto,,,,2024-12-03,359,Toronto,The Access Point
CLI002030,Phillips,Justin,ETS Path to Employment,1971-08-24,54,Female,,,,,2022-07-12,1234,Toronto,"Self,  Family or Friend"
CLI002031,Cruz,Michelle,ETS Employment and Training Services,1971-08-24,54,Female,,,,,2022-07-04,1242,Toronto,"Self,  Family or Friend"
CLI002032,King,Margaret,ETS Employment Ontario,1971-08-24,54,Female,,,,,2022-07-12,1234,Toronto,"Self,  Family or Friend"
CLI002033,Patel,Donna,Dan Harrison & George Street Partnership (DHG),1955-01-01,70,Male,,,,,2020-09-28,1886,Toronto,Internal Source
CLI002034,Ross,Emma,ETS Path to Employment,1989-11-03,36,Do not know,,,,,2024-09-04,449,Toronto,"Self,  Family or Friend"
CLI002035,Taylor,Jason,ETS Employment Ontario Follow Up,1978-04-03,47,Male,,,,,2020-11-30,1823,Toronto,"Self,  Family or Friend"
CLI002036,Green,Christopher,ETS Employment and Training Services,1978-04-03,47,Male,,,,,2020-06-23,1983,Toronto,"Self,  Family or Friend"
CLI002037,Sanders,Anthony,Open House Drop-In/MHJ (Case Management),1987-09-09,38,Male,,,,,2025-06-06,174,Toronto,"Self,  Family or Friend"
CLI002038,Gomez,Mary,CSS West,1967-10-09,58,Female,,,,,2018-10-03,2612,Toronto,The Access Point
CLI002039,Long,Deborah,ETS Employment and Training Services,1960-03-04,65,Male,,,,,2019-12-17,2172,Toronto,"Self,  Family or Friend"
CLI002040,Jackson,Jason,"African,  Black and Caribbean Communities Program",1997-08-02,28,Female,North York,,,High,2025-04-25,216,Toronto,External Source
CLI002041,Baker,Raymond,Bridging Housing and Community Stabilization,1976-12-29,48,Male,,,,,2016-11-29,3285,Toronto,"Other institution (e.g. rehabilitation,  long term care) "
CLI002042,Patel,Kyle,ETS Employment and Training Services,1983-05-31,42,Female,,,,,2022-08-10,1205,Toronto,"Self,  Family or Friend"
CLI002043,Hughes,Matthew,ETS Employment Ontario Follow Up,1983-05-31,42,Female,,,,,2022-12-01,1092,Toronto,"Self,  Family or Friend"
CLI002044,Garcia,Nicholas,ETS Employment and Training Services,1966-04-24,59,Male,,,,,2022-08-16,1199,Toronto,"Self,  Family or Friend"
CLI002045,Wood,Jeffrey,ETS Employment Ontario,1966-04-24,59,Male,,,,,2022-08-17,1198,Toronto,"Self,  Family or Friend"
CLI002046,Vasquez,Kyle,Court Diversion - Old City Hall,1986-10-02,39,Male,,,,,2022-01-04,1423,Toronto,Other
CLI002047,Torres,Michelle,1Housing - 20 Palace,2002-01-04,23,Female,,,,,2022-01-28,1399,Toronto,"Self,  Family or Friend"
CLI002048,Foster,Janet,1Housing - Housing Help,2002-01-04,23,Female,,,,Low,2025-03-28,244,Toronto,"Self,  Family or Friend"
CLI002049,Parker,Joyce,ETS Employment and Training Services,1974-06-06,51,Do not know,,,,,2019-09-25,2255,Toronto,"Self,  Family or Friend"
CLI002050,Robinson,Amanda,ETS Employment Ontario,1972-11-05,53,Male,,,,,2024-02-07,659,Toronto,"Self,  Family or Friend"
CLI002051,Thomas,Ronald,ETS Employment and Training Services,1972-11-05,53,Male,,,,,2024-02-07,659,Toronto,"Self,  Family or Friend"
CLI002052,Gutierrez,Anna,ETS Employment and Training Services,1975-02-20,50,Female,,,,,2024-02-12,654,Toronto,"Self,  Family or Friend"
CLI002053,Martinez,Michelle,ETS Employment and Training Services,1978-08-18,47,Male,,,,,2019-08-22,2289,Toronto,"Self,  Family or Friend"
CLI002054,Watson,Victoria,ETS Employment Ontario Follow Up,1978-08-18,47,Male,,,,,2020-03-26,2072,Toronto,"Self,  Family or Friend"
CLI002055,Jimenez,Michael,ETS Employment and Training Services,1982-06-15,43,Female,,,,,2021-08-04,1576,Toronto,"Self,  Family or Friend"
CLI002056,Foster,Melissa,ETS Employment and Training Services,1975-06-13,50,Male,,,,,2020-10-26,1858,Toronto,"Self,  Family or Friend"
CLI002057,Ramos,Tyler,ETS SSTEP,1975-06-13,50,Male,,,,,2021-01-27,1765,Toronto,Internal Source
CLI002058,Rodriguez,Cynthia,ETS Job Development,1976-10-13,49,Male,,,,,2021-01-18,1774,Toronto,Internal Source
CLI002059,Sanchez,Ethan,ETS Employment Ontario,1976-10-13,49,Male,,,,,2020-09-02,1912,Toronto,"Self,  Family or Friend"
CLI002060,Anderson,Andrew,ETS Employment and Training Services,1976-10-13,49,Male,,,,,2019-12-10,2179,Toronto,"Self,  Family or Friend"
CLI002061,Murphy,Andrew,ETS Employment Ontario Follow Up,1972-06-14,53,Female,,,,,2023-05-30,912,Toronto,"Self,  Family or Friend"
CLI002062,Gonzales,Donna,Refugees Housing Support and System Navigation,1982-10-01,43,Male,,,,,2025-09-19,69,Toronto,"Self,  Family or Friend"
CLI002063,Vasquez,Rachel,Bridging Birchmount Greens,1998-03-23,27,Female,,,,,2023-12-04,724,Toronto,"Self,  Family or Friend"
CLI002064,Morales,Adam,ETS Path to Employment,1970-02-20,55,Female,,,,,2023-01-05,1057,Toronto,"Self,  Family or Friend"
CLI002065,Nelson,Andrew,ETS Employment and Training Services,1970-02-20,55,Female,,,,,2023-01-05,1057,Toronto,"Other institution (e.g. rehabilitation,  long term care) "
CLI002066,Clark,Dennis,Bridging Enhanced Housing Support Program,1992-02-03,33,Female,Toronto,,,Medium,2024-08-19,465,Toronto,External Source
CLI002067,Hall,Judith,Bridging Specialized Population Focused Follow Up,1992-02-03,33,Female,Toronto,,,,2024-08-19,465,Toronto,"Other institution (e.g. rehabilitation,  long term care) "
CLI002068,Coleman,Stephen,ETS Unassisted Services,1973-09-25,52,Male,,,,,2018-07-09,2698,Toronto,"Self,  Family or Friend"
CLI002069,Coleman,Melissa,Early Intervention,1999-08-11,26,Male,Toronto,,,,2021-10-05,1514,Toronto,"Self,  Family or Friend"
CLI002070,Nguyen,Noah,Pearson Community Bridging Project,1986-05-21,39,Male,,,,,2025-09-19,69,Toronto,"Self,  Family or Friend"
CLI002071,Stewart,Emily,ETS Employment Ontario Follow Up,1971-12-07,53,Female,,,,,2020-09-30,1884,Toronto,"Self,  Family or Friend"
CLI002072,Morgan,Margaret,ETS Employment and Training Services,1971-12-07,53,Female,,,,,2019-08-30,2281,Toronto,"Self,  Family or Friend"
CLI002073,Myers,Rachel,Bridging Birchmount Greens,1985-03-03,40,Female,,,,,2024-02-23,643,Toronto,External Source
CLI002074,Evans,Carolyn,ETS Employment and Training Services,1961-03-15,64,Male,,,,,2023-03-24,979,Toronto,"Self,  Family or Friend"
CLI002075,Morales,Betty,CSS West,1973-09-24,52,Male,Toronto,,,,2025-06-12,168,Toronto,The Access Point
CLI002076,Williams,Katherine,CDSS Coordinated Access,1990-05-03,35,Male,,,,,2025-10-22,36,Toronto,External Source
CLI002077,Thomas,Ryan,ETS Employment and Training Services,1993-05-05,32,Do not know,,,,,2021-06-01,1640,Toronto,"Self,  Family or Friend"
CLI002078,Rivera,Mary,ETS Path to Employment,1993-05-05,32,Do not know,,,,,2021-06-08,1633,Toronto,Internal Source
CLI002079,Ross,Nathan,ETS SSTEP,1993-05-05,32,Do not know,,,,,2021-06-01,1640,Toronto,Internal Source
CLI002080,Lewis,Janet,ETS Employment Ontario,1992-08-18,33,Female,,,,,2023-10-03,786,Toronto,"Self,  Family or Friend"
CLI002081,Green,Amy,ETS Employment and Training Services,1992-08-18,33,Female,,,,,2023-10-03,786,Toronto,"Self,  Family or Friend"
CLI002082,Gonzales,Karen,ETS Employment and Training Services,1959-01-23,66,Male,,,,,2018-08-31,2645,Toronto,"Self,  Family or Friend"
CLI002083,Gomez,Betty,ETS Employment and Training Services,1970-01-01,55,Male,,,,,2024-07-18,497,Toronto,"Self,  Family or Friend"
CLI002084,Thompson,Christine,Intensive Outreach Team (Scarborough),1965-11-10,60,Male,East York,,,,2025-01-14,317,Toronto,The Access Point
CLI002085,Moore,Donna,Court Diversion - Ontario Court of Justice 10 Armoury,1997-04-27,28,Do not know,,,,High,2025-03-19,253,Toronto,External Source
CLI002086,Kim,David,1Housing - 40 Oak,2000-02-18,25,Female,,,,,2021-04-09,1693,Toronto,"Self,  Family or Friend"
CLI002087,Gutierrez,Susan,Bridging Housing and Community Stabilization,1955-12-13,69,Male,,,,,2017-08-16,3025,Toronto,"Self,  Family or Friend"
CLI002088,Kim,James,1Housing - 40 Oak,1997-06-12,28,Do not know,,,,,2021-04-15,1687,Toronto,"Self,  Family or Friend"
CLI002089,Hernandez,Benjamin,Intensive Outreach Team (Downtown),1966-01-31,59,Male,Toronto,,,,2023-09-18,801,Toronto,"Other institution (e.g. rehabilitation,  long term care) "
CLI002090,Price,Angela,ETS Employment and Training Services,1985-11-02,40,Non Binary,,,,,2022-09-09,1175,Toronto,"Self,  Family or Friend"
CLI002091,Butler,Kimberly,ETS Employment Ontario,1985-11-02,40,Non Binary,,,,,2022-09-09,1175,Toronto,"Self,  Family or Friend"
CLI002092,Ward,William,ETS Path to Employment,1985-11-02,40,Non Binary,,,,,2022-09-12,1172,Toronto,"Self,  Family or Friend"
CLI002093,Richardson,Noah,ETS Employment Ontario,1968-12-11,56,Male,,,,,2023-05-25,917,Toronto,"Self,  Family or Friend"
CLI002094,James,Joshua,ETS Employment and Training Services,1968-12-11,56,Male,,,,,2023-05-25,917,Toronto,"Self,  Family or Friend"
CLI002095,Torres,Kelly,1Housing - 40 Oak,1981-02-25,44,Do not know,,,,,2021-03-04,1729,Toronto,Other
CLI002096,Thomas,Betty,1Housing - Kingston Road (4626 & 4628),1983-12-20,41,Female,Scarborough,,,Medium,2025-06-12,168,Toronto,External Source
CLI002097,Bailey,Susan,ASH,2001-08-22,24,Male,"TORONTO,  Ontario",,,,2024-03-11,626,Toronto,"Other institution (e.g. rehabilitation,  long term care) "
CLI002098,Stewart,Jeremy,ETS Community Advocacy - Peer Training Program,1979-11-08,46,Male,Toronto,,,Medium,2025-07-23,127,Toronto,"Self,  Family or Friend"
CLI002099,Henderson,Kevin,Bridging Housing and Community Stabilization,1972-09-03,53,Do not know,,,,,2018-09-18,2627,Toronto,"Self,  Family or Friend"
CLI002100,Long,Patricia,HOP - Hostel Outreach Program,2000-04-11,25,Female,,,,,2021-02-01,1760,Toronto,"Other institution (e.g. rehabilitation,  long term care) "
CLI002101,Gray,Scott,ETS Employment and Training Services,2000-03-29,25,Other,,,,,2024-08-12,472,Toronto,"Self,  Family or Friend"
CLI002102,Reed,Christina,ETS Employment Ontario,2000-03-29,25,Other,,,,,2024-09-06,447,Toronto,"Self,  Family or Friend"
CLI002103,Jenkins,Jacob,1Housing - 20 Palace,1980-11-12,45,Male,Toronto,,,,2024-11-15,377,Toronto,"Self,  Family or Friend"
CLI002104,Miller,Stephanie,1Housing - 40 Oak,1982-06-01,43,Male,,,,,2021-04-27,1675,Toronto,"Other institution (e.g. rehabilitation,  long term care) "
CLI002105,Jones,Anthony,1Housing - 40 Oak,1980-10-17,45,Male,,,,,2021-04-15,1687,Toronto,"Self,  Family or Friend"
CLI002106,Turner,Melissa,Court Diversion - Old City Hall,1988-01-01,37,Male,,,,,2021-06-11,1630,Toronto,"Other institution (e.g. rehabilitation,  long term care) "
CLI002107,Taylor,Megan,Refugees Housing Support and System Navigation,1995-06-21,30,Male,,,,,2025-10-30,28,Toronto,Internal Source
CLI002108,Foster,Betty,ETS Employment and Training Services,1990-08-04,35,Female,,,,,2022-08-10,1205,Toronto,"Self,  Family or Friend"
CLI002109,White,Thomas,ETS Employment and Training Services,1980-07-17,45,Do not know,,,,,2024-07-18,497,Toronto,"Self,  Family or Friend"
CLI002110,Sullivan,Jacob,ETS Employment and Training Services,1980-01-31,45,Female,,,,,2024-08-28,456,Toronto,"Self,  Family or Friend"
CLI002111,Myers,Judith,ETS Employment Ontario,1980-01-31,45,Female,,,,,2024-08-28,456,Toronto,Internal Source
CLI002112,Morris,Ryan,ETS Employment and Training Services,1987-04-30,38,Do not know,,,,,2018-11-13,2571,Toronto,"Self,  Family or Friend"
CLI002113,Patel,Jonathan,ETS Employment Ontario Follow Up,1987-04-30,38,Do not know,,,,,2020-09-03,1911,Toronto,"Self,  Family or Friend"
CLI002114,James,Ethan,Court Dual Diagnosis Justice Program,1997-11-29,27,Male,Toronto,,,High,2025-04-23,218,Toronto,External Source
CLI002115,Vasquez,Carol,ETS Employment and Training Services,1982-01-12,43,Female,,,,,2021-12-24,1434,Toronto,"Self,  Family or Friend"
CLI002116,Castillo,Charles,ETS SSTEP,1979-01-23,46,Male,,,,,2018-10-18,2597,Toronto,"Self,  Family or Friend"
CLI002117,Robinson,Matthew,ETS Employment and Training Services,1979-01-23,46,Male,,,,,2018-10-11,2604,Toronto,"Self,  Family or Friend"
CLI002118,Wood,Barbara,STOP,1948-08-22,77,Female,Toronto,,,,2025-09-22,66,Toronto,Internal Source
CLI002119,Carter,Kathleen,CSS West,1965-11-04,60,Female,Toronto,,,,2025-08-26,93,Toronto,The Access Point
CLI002120,Barnes,Jack,1Housing - 501 Logan,1981-02-04,44,Male,,,,,2023-09-04,815,Toronto,"Self,  Family or Friend"
CLI002121,Cook,Tyler,ETS Employment and Training Services,1975-09-21,50,Female,,,,,2024-04-30,576,Toronto,"Self,  Family or Friend"
CLI002122,Taylor,Margaret,ETS Unassisted Services,1900-01-01,125,Do not know,,,,,2018-08-02,2674,Toronto,"Self,  Family or Friend"
CLI002123,Gutierrez,Kyle,Court Diversion - Ontario Court of Justice 10 Armoury,1962-07-14,63,Female,Toronto,,,High,2025-01-27,304,Toronto,External Source
CLI002124,Gray,Laura,ETS Employment and Training Services,1982-12-27,42,Female,,,,,2023-09-15,804,Toronto,"Self,  Family or Friend"
CLI002125,Green,Helen,ETS Path to Employment,1982-12-27,42,Female,,,,,2023-09-15,804,Toronto,"Self,  Family or Friend"
CLI002126,Rogers,Ryan,ETS Employment and Training Services,1984-12-21,40,Female,,,,,2023-05-08,934,Toronto,"Self,  Family or Friend"
CLI002127,Foster,Jason,Bridging Steps to Support,1984-10-11,41,Male,,,,,2025-06-30,150,Toronto,External Source
CLI002128,Ross,Carol,1Housing - Kingston Road (4626 & 4628),1969-10-29,56,Male,Scarborough,,,Medium,2025-05-28,183,Toronto,External Source
CLI002129,Myers,Pamela,Court Diversion - Ontario Court of Justice 10 Armoury,2000-11-14,25,Male,,,,High,2025-08-25,94,Toronto,Internal Source
CLI002130,Gonzales,Gregory,CSS West,1990-05-28,35,Female,,,,,2019-08-07,2304,Toronto,"Other institution (e.g. rehabilitation,  long term care) "
CLI002131,Powell,William,ETS Employment and Training Services,1957-07-16,68,Female,,,,,2021-05-19,1653,Toronto,"Self,  Family or Friend"
CLI002132,Adams,Jose,ETS Employment and Training Services,1975-07-15,50,Male,,,,,2023-04-19,953,Toronto,"Self,  Family or Friend"
CLI002133,Wood,Anna,ETS Path to Employment,1975-07-15,50,Male,,,,,2023-04-20,952,Toronto,"Self,  Family or Friend"
CLI002134,Ramos,Kenneth,Court Diversion - Ontario Court of Justice 10 Armoury,1974-09-29,51,Male,,,,,2024-11-19,373,Toronto,"Self,  Family or Friend"
CLI002135,Murphy,Virginia,Bridging Steps to Support,1963-12-01,61,Female,Toronto,,,,2025-06-30,150,Toronto,"Self,  Family or Friend"
CLI002136,Ruiz,Kenneth,ETS Employment and Training Services,1967-12-23,57,Male,,,,,2020-03-02,2096,Toronto,"Self,  Family or Friend"
CLI002137,Garcia,David,ETS Catering/Food Services Training,1967-12-23,57,Male,,,,,2020-03-02,2096,Toronto,Internal Source
CLI002138,Clark,Raymond,ETS Employment and Training Services,1991-07-09,34,Female,,,,,2023-04-20,952,Toronto,"Self,  Family or Friend"
CLI002139,Richardson,Jonathan,ETS Employment and Training Services,2002-04-11,23,Male,,,,,2024-07-09,506,Toronto,"Self,  Family or Friend"
CLI002140,Reed,Andrew,ETS Employment and Training Services,1995-04-22,30,Female,Toronto,,,,2024-11-07,385,Toronto,"Self,  Family or Friend"
CLI002141,Morris,Eric,Bridging Steps to Support,1971-05-02,54,Male,Toronto,,,High,2025-06-30,150,Toronto,"Self,  Family or Friend"
CLI002142,King,Paul,ETS Unassisted Services,1900-01-01,125,Do not know,,,,,2018-08-09,2667,Toronto,"Self,  Family or Friend"
CLI002143,Hall,Brenda,HART Hub,1965-01-18,60,Male,Toronto,,,,2025-10-06,52,Toronto,"Self,  Family or Friend"
CLI002144,Thompson,Samantha,Dan Harrison DROP-IN,1965-01-18,60,Male,Toronto,,,,2019-05-14,2389,Toronto,"Self,  Family or Friend"
CLI002145,Brooks,Jeremy,ETS Employment and Training Services,1987-04-28,38,Do not know,,,,,2024-08-21,463,Toronto,"Self,  Family or Friend"
CLI002146,Long,Donald,Bridging Housing and Community Stabilization,1987-01-24,38,Do not know,,,,,2019-08-16,2295,Toronto,"Self,  Family or Friend"
CLI002147,Romero,Andrew,ETS Employment and Training Services,1985-12-22,39,Female,,,,,2021-04-15,1687,Toronto,"Self,  Family or Friend"
CLI002148,Cooper,Ashley,ETS Employment Ontario Follow Up,1985-12-22,39,Female,,,,,2021-12-09,1449,Toronto,"Self,  Family or Friend"
CLI002149,Kelly,David,Court Diversion - Old City Hall,1989-02-23,36,Male,,,,,2017-05-31,3102,Toronto,Other
CLI002150,Lee,Jason,STOP,1965-06-16,60,Male,,,,,2024-09-04,449,Toronto,Internal Source
CLI002151,Jackson,Kyle,291 George DROP-IN,1963-04-13,62,Female,,,,,2024-02-08,658,Toronto,"Self,  Family or Friend"
CLI002152,Watson,Heather,ETS Employment and Training Services,1977-12-04,47,Female,,,,,2019-05-22,2381,Toronto,"Self,  Family or Friend"
