client_id,first_name,last_name,email,phone,dob,program_name,admission_date,discharge_date,program_status,referral_source,receiving_services,support_workers,notes
CID101477,TestFirst--1477,TestLast--1477,test1477@example.com,+916112308709,2024-03-31,Addiction Counselling,2025-06-09,2024-01-25,pending,Clinic,no,Anil Verma,Primary enrollment
CID101478,TestFirst--1478,TestLast--1478,test1478@example.com,+918429387397,2025-06-06,Employment Assistance,2024-12-21,2024-07-30,active,School,yes,Dr. Singh,Primary enrollment
CID101479,TestFirst--1479,TestLast--1479,test1479@example.com,+916469133802,2024-09-12,Family Support,2025-08-07,2023-03-02,pending,Agency A,no,"Rita Kumar, Sunil Iyer",Primary enrollment
CID101480,TestFirst--1480,TestLast--1480,test1480@example.com,+919389481367,2025-03-03,Counselling,2025-03-29,2023-05-31,pending,Outreach,yes,"sunil iyer, Rita Kumar",Duplicate-case 1
CID101481,TestFirst--1481,TestLast--1481,test1481@example.com,+919737696823,2025-06-01,Housing Support,2024-09-15,2023-06-06,discharged,School,no,"Rita Kumar,Sunil Iyer",Duplicate-case 2 - different referral_source
CID101482,TestFirst--1482,TestLast--1482,test1482@example.com,+919113070253,2023-10-08,Addiction Counselling,2023-11-26,2024-05-27,discharged,School,yes,Anil Verma,Duplicate-case 2 - different referral_source
CID101483,TestFirst--1483,TestLast--1483,test1483@example.com,+918410979841,2025-06-12,Employment Assistance,2025-09-18,2024-05-09,active,Clinic,no,Asha Patel,Initial enrollment
CID101484,TestFirst--1484,TestLast--1484,test1484@example.com,+918594539114,2023-07-01,Family Support,2025-07-31,2023-05-16,pending,Agency B,yes,"Rita Kumar,Sunil Iyer",Initial enrollment
CID101485,TestFirst--1485,TestLast--1485,test1485@example.com,+917280710579,2025-03-07,Counselling,2024-03-26,2025-02-12,discharged,Agency C,yes,Asha Patel,Initial enrollment
CID101486,TestFirst--1486,TestLast--1486,test1486@example.com,+916918552224,2024-07-15,Housing Support,2025-02-20,2025-01-29,pending,Self,no,"sunil iyer, Rita Kumar",Duplicate with status difference
CID101487,TestFirst--1487,TestLast--1487,test1487@example.com,+917415073077,2025-06-20,Addiction Counselling,2024-11-20,2025-08-03,discharged,Self,yes,"sunil iyer, Rita Kumar",Duplicate with status difference
CID101488,TestFirst--1488,TestLast--1488,test1488@example.com,+917566980947,2025-04-25,Employment Assistance,2024-04-19,2025-01-17,discharged,Clinic,yes,Rita Kumar,support workers lowercase
CID101489,TestFirst--1489,TestLast--1489,test1489@example.com,+916985311552,2024-02-23,Family Support,2023-02-22,2024-06-03,active,Agency C,yes,Dr. Singh,support workers different order
CID101490,TestFirst--1490,TestLast--1490,test1490@example.com,+917315380235,2025-09-30,Counselling,2024-01-29,2025-03-30,discharged,Agency C,yes,Rita Kumar,Duplicate-case 2 - different referral_source
CID101491,TestFirst--1491,TestLast--1491,test1491@example.com,+917342699203,2024-02-19,Housing Support,2024-03-25,2024-01-06,active,Agency A,yes,Sonia Rao,Duplicate-case 2 - different referral_source
CID101492,TestFirst--1492,TestLast--1492,test1492@example.com,+918098669694,2023-01-19,Addiction Counselling,2025-06-04,2025-06-29,active,Agency B,no,"Rita Kumar,Sunil Iyer",Duplicate-case 1
CID101493,TestFirst--1493,TestLast--1493,test1493@example.com,+916676773861,2024-01-19,Employment Assistance,2024-05-02,2023-03-07,discharged,School,yes,Anil Verma,Duplicate-case 2 - different referral_source
CID101494,TestFirst--1494,TestLast--1494,test1494@example.com,+918515171645,2024-02-13,Family Support,2023-09-18,2025-11-23,active,Agency C,yes,"Rita Kumar, Sunil Iyer",support workers different order
CID101495,TestFirst--1495,TestLast--1495,test1495@example.com,+919654620352,2025-02-24,Counselling,2024-02-17,2024-09-17,active,Agency C,yes,Anil Verma,Duplicate-case 1
CID101496,TestFirst--1496,TestLast--1496,test1496@example.com,+916805818189,2022-12-01,Housing Support,2024-03-19,2024-06-26,pending,School,no,"sunil iyer, Rita Kumar",Primary enrollment
CID101497,TestFirst--1497,TestLast--1497,test1497@example.com,+918853710476,2023-11-08,Addiction Counselling,2024-05-20,2023-11-14,pending,Self,yes,Anil Verma,Primary enrollment
CID101498,TestFirst--1498,TestLast--1498,test1498@example.com,+918062933148,2023-01-18,Employment Assistance,2023-08-13,2025-09-13,pending,Agency B,no,Anil Verma,support workers different order
CID101499,TestFirst--1499,TestLast--1499,test1499@example.com,+917118957668,2024-08-23,Family Support,2024-12-21,2024-02-02,discharged,Outreach,yes,Asha Patel,Duplicate-case 1
CID101500,TestFirst--1500,TestLast--1500,test1500@example.com,+918210643973,2023-02-17,Counselling,2025-06-08,2023-05-09,active,Agency B,no,"sunil iyer, Rita Kumar",Duplicate-case 1
CID101501,TestFirst--1501,TestLast--1501,test1501@example.com,+918147062308,2025-10-11,Housing Support,2024-02-01,2022-12-06,active,Outreach,yes,"sunil iyer, Rita Kumar",Initial enrollment
CID101502,TestFirst--1502,TestLast--1502,test1502@example.com,+918800859900,2023-08-04,Addiction Counselling,2024-08-03,2025-07-28,pending,Agency A,yes,Sonia Rao,Duplicate-case 1
CID101503,TestFirst--1503,TestLast--1503,test1503@example.com,+917136725911,2025-08-21,Employment Assistance,2025-03-12,2024-10-22,pending,School,no,Anil Verma,Primary enrollment
CID101504,TestFirst--1504,TestLast--1504,test1504@example.com,+919454493941,2024-03-07,Family Support,2024-06-27,2024-02-01,active,Agency B,yes,Asha Patel,support workers lowercase
CID101505,TestFirst--1505,TestLast--1505,test1505@example.com,+919819068487,2023-05-04,Counselling,2025-11-01,2025-01-25,discharged,Agency B,no,Rita Kumar,Duplicate-case 1
CID101506,TestFirst--1506,TestLast--1506,test1506@example.com,+919745154383,2023-12-26,Housing Support,2023-08-30,2023-10-09,pending,Agency B,yes,Asha Patel,Initial enrollment
CID101507,TestFirst--1507,TestLast--1507,test1507@example.com,+918423455692,2025-04-28,Addiction Counselling,2024-12-10,2025-07-31,pending,Self,no,Dr. Singh,Duplicate-case 2 - different referral_source
CID101508,TestFirst--1508,TestLast--1508,test1508@example.com,+916289401003,2023-01-28,Employment Assistance,2024-10-26,2024-10-09,active,Agency B,yes,"Rita Kumar,Sunil Iyer",Duplicate-case 2 - different referral_source
CID101509,TestFirst--1509,TestLast--1509,test1509@example.com,+919857648180,2025-08-02,Family Support,2024-04-03,2023-12-12,active,School,yes,Dr. Singh,support workers different order
CID101510,TestFirst--1510,TestLast--1510,test1510@example.com,+919143674241,2022-12-11,Counselling,2023-09-28,2024-06-23,pending,Self,yes,Sonia Rao,Duplicate-case 1
CID101511,TestFirst--1511,TestLast--1511,test1511@example.com,+917860434165,2023-05-21,Housing Support,2023-12-14,2025-01-19,active,Clinic,yes,Sonia Rao,Duplicate with status difference
CID101512,TestFirst--1512,TestLast--1512,test1512@example.com,+919981256804,2024-05-30,Addiction Counselling,2024-07-02,2023-05-13,pending,Agency B,yes,Asha Patel,support workers lowercase
CID101513,TestFirst--1513,TestLast--1513,test1513@example.com,+919662784259,2025-02-06,Employment Assistance,2023-06-24,2024-02-11,discharged,Clinic,yes,Asha Patel,support workers different order
CID101514,TestFirst--1514,TestLast--1514,test1514@example.com,+916580849588,2025-04-30,Family Support,2022-12-06,2025-11-13,discharged,Self,yes,"Rita Kumar, Sunil Iyer",support workers different order
CID101515,TestFirst--1515,TestLast--1515,test1515@example.com,+919957927964,2025-04-08,Counselling,2025-07-05,2023-07-17,discharged,Hospital,no,Dr. Singh,Duplicate-case 1
CID101516,TestFirst--1516,TestLast--1516,test1516@example.com,+918601784421,2023-09-06,Housing Support,2023-02-09,2023-10-06,discharged,Clinic,yes,Dr. Singh,Primary enrollment
CID101517,TestFirst--1517,TestLast--1517,test1517@example.com,+919752685437,2024-05-16,Addiction Counselling,2025-09-30,2022-12-19,discharged,Self,yes,Dr. Singh,support workers lowercase
CID101518,TestFirst--1518,TestLast--1518,test1518@example.com,+918256149311,2023-06-17,Employment Assistance,2024-09-30,2023-10-19,discharged,Agency B,no,"sunil iyer, Rita Kumar",support workers lowercase
CID101519,TestFirst--1519,TestLast--1519,test1519@example.com,+916365354052,2023-08-03,Family Support,2025-08-04,2023-05-10,pending,Agency A,yes,Rita Kumar,Duplicate with status difference
CID101520,TestFirst--1520,TestLast--1520,test1520@example.com,+919347750467,2023-08-02,Counselling,2025-03-31,2024-11-04,discharged,Hospital,yes,"Rita Kumar,Sunil Iyer",Initial enrollment
CID101521,TestFirst--1521,TestLast--1521,test1521@example.com,+918036904288,2025-09-30,Housing Support,2025-04-24,2023-02-19,pending,Self,no,Anil Verma,support workers lowercase
CID101522,TestFirst--1522,TestLast--1522,test1522@example.com,+916710466934,2024-03-20,Addiction Counselling,2025-01-02,2024-04-29,active,Outreach,yes,Asha Patel,Initial enrollment
CID101523,TestFirst--1523,TestLast--1523,test1523@example.com,+918634836971,2024-03-01,Employment Assistance,2023-11-16,2023-08-16,pending,Outreach,yes,"Rita Kumar, Sunil Iyer",Primary enrollment
CID101524,TestFirst--1524,TestLast--1524,test1524@example.com,+919487140734,2023-06-26,Family Support,2025-05-19,2023-05-08,pending,Outreach,yes,Asha Patel,Duplicate with status difference
CID101525,TestFirst--1525,TestLast--1525,test1525@example.com,+918817030987,2024-05-20,Counselling,2023-12-25,2025-10-30,discharged,Agency B,yes,Sonia Rao,Primary enrollment
CID101526,TestFirst--1526,TestLast--1526,test1526@example.com,+916228423957,2024-11-18,Housing Support,2024-06-10,2025-04-03,discharged,Agency C,no,"Rita Kumar, Sunil Iyer",support workers different order
CID101527,TestFirst--1527,TestLast--1527,test1527@example.com,+918064051480,2023-04-06,Addiction Counselling,2025-11-11,2023-07-17,active,School,no,Anil Verma,Initial enrollment
CID101528,TestFirst--1528,TestLast--1528,test1528@example.com,+917021004543,2025-06-18,Employment Assistance,2024-12-09,2023-09-12,pending,Agency C,yes,Rita Kumar,Duplicate-case 1
CID101529,TestFirst--1529,TestLast--1529,test1529@example.com,+919726820253,2023-03-04,Family Support,2024-08-26,2025-06-05,pending,Outreach,yes,"sunil iyer, Rita Kumar",Initial enrollment
CID101530,TestFirst--1530,TestLast--1530,test1530@example.com,+919234162302,2024-12-11,Counselling,2023-02-12,2025-05-29,discharged,Agency B,no,"Rita Kumar,Sunil Iyer",Duplicate-case 2 - different referral_source
CID101531,TestFirst--1531,TestLast--1531,test1531@example.com,+919015344000,2024-04-08,Housing Support,2023-07-07,2025-09-19,discharged,Outreach,no,"Rita Kumar,Sunil Iyer",Duplicate-case 2 - different referral_source
CID101532,TestFirst--1532,TestLast--1532,test1532@example.com,+918094800038,2024-03-23,Addiction Counselling,2024-12-03,2024-04-20,pending,School,no,"sunil iyer, Rita Kumar",Duplicate with status difference
CID101533,TestFirst--1533,TestLast--1533,test1533@example.com,+917038947789,2023-10-06,Employment Assistance,2023-09-06,2023-11-17,discharged,Hospital,no,"sunil iyer, Rita Kumar",Primary enrollment
CID101534,TestFirst--1534,TestLast--1534,test1534@example.com,+918787906479,2025-03-12,Family Support,2024-03-01,2024-05-13,discharged,Agency B,no,Dr. Singh,support workers different order
CID101535,TestFirst--1535,TestLast--1535,test1535@example.com,+918557620839,2023-10-03,Counselling,2023-04-03,2024-12-02,active,Outreach,yes,Asha Patel,support workers different order
CID101536,TestFirst--1536,TestLast--1536,test1536@example.com,+916658951334,2025-06-09,Housing Support,2023-02-24,2025-10-02,discharged,Agency A,no,Asha Patel,Duplicate with status difference
CID101537,TestFirst--1537,TestLast--1537,test1537@example.com,+918408535451,2024-12-16,Addiction Counselling,2025-04-11,2023-12-13,discharged,Clinic,no,Dr. Singh,Duplicate with status difference
CID101538,TestFirst--1538,TestLast--1538,test1538@example.com,+917948147971,2025-06-15,Employment Assistance,2024-05-28,2024-09-24,pending,Clinic,no,Dr. Singh,Duplicate with status difference
CID101539,TestFirst--1539,TestLast--1539,test1539@example.com,+919009359097,2025-03-28,Family Support,2023-10-02,2023-07-19,active,Clinic,yes,"Rita Kumar,Sunil Iyer",support workers different order
CID101540,TestFirst--1540,TestLast--1540,test1540@example.com,+916842296217,2023-08-13,Counselling,2024-05-14,2025-07-30,active,Self,no,Rita Kumar,Duplicate-case 2 - different referral_source
CID101541,TestFirst--1541,TestLast--1541,test1541@example.com,+917840090870,2024-02-27,Housing Support,2023-06-09,2025-06-25,active,Agency B,no,"sunil iyer, Rita Kumar",support workers lowercase
CID101542,TestFirst--1542,TestLast--1542,test1542@example.com,+918357225794,2023-08-31,Addiction Counselling,2024-05-14,2024-12-15,pending,Hospital,yes,Dr. Singh,support workers lowercase
CID101543,TestFirst--1543,TestLast--1543,test1543@example.com,+919965603630,2023-01-30,Employment Assistance,2023-12-08,2024-07-28,pending,School,no,"Rita Kumar,Sunil Iyer",support workers lowercase
CID101544,TestFirst--1544,TestLast--1544,test1544@example.com,+916359139019,2025-08-11,Family Support,2024-02-02,2025-10-25,discharged,Agency A,no,"sunil iyer, Rita Kumar",Duplicate with status difference
CID101545,TestFirst--1545,TestLast--1545,test1545@example.com,+919136825633,2024-11-19,Counselling,2024-08-21,2025-03-01,discharged,Outreach,yes,Sonia Rao,Initial enrollment
CID101546,TestFirst--1546,TestLast--1546,test1546@example.com,+916439680713,2024-05-10,Housing Support,2023-08-09,2023-05-23,pending,Clinic,yes,"sunil iyer, Rita Kumar",support workers lowercase
CID101547,TestFirst--1547,TestLast--1547,test1547@example.com,+917329153681,2023-02-16,Addiction Counselling,2025-10-21,2025-03-04,pending,Outreach,no,"Rita Kumar,Sunil Iyer",Primary enrollment
CID101548,TestFirst--1548,TestLast--1548,test1548@example.com,+918091801816,2025-08-08,Employment Assistance,2025-09-18,2023-04-16,discharged,Agency C,no,Dr. Singh,support workers lowercase
CID101549,TestFirst--1549,TestLast--1549,test1549@example.com,+917620989714,2022-12-18,Family Support,2025-11-03,2025-02-12,pending,Agency A,no,"sunil iyer, Rita Kumar",Duplicate-case 1
CID101550,TestFirst--1550,TestLast--1550,test1550@example.com,+916113822032,2024-03-03,Counselling,2023-11-11,2025-11-09,active,Agency C,no,"Rita Kumar,Sunil Iyer",Duplicate-case 2 - different referral_source
CID101551,TestFirst--1551,TestLast--1551,test1551@example.com,+916324940324,2024-11-23,Housing Support,2024-06-07,2024-07-30,pending,Hospital,no,Dr. Singh,Duplicate-case 1
CID101552,TestFirst--1552,TestLast--1552,test1552@example.com,+916610432817,2023-12-01,Addiction Counselling,2024-03-21,2024-07-27,pending,Hospital,yes,Sonia Rao,Duplicate with status difference
CID101553,TestFirst--1553,TestLast--1553,test1553@example.com,+918635483982,2025-06-24,Employment Assistance,2024-07-14,2023-04-08,discharged,Hospital,yes,Asha Patel,Primary enrollment
CID101554,TestFirst--1554,TestLast--1554,test1554@example.com,+916806606040,2023-11-17,Family Support,2024-10-12,2022-12-08,active,Self,no,"Rita Kumar, Sunil Iyer",Duplicate-case 2 - different referral_source
CID101555,TestFirst--1555,TestLast--1555,test1555@example.com,+917777178031,2023-11-06,Counselling,2025-01-10,2024-10-03,active,Agency C,yes,Rita Kumar,Primary enrollment
CID101556,TestFirst--1556,TestLast--1556,test1556@example.com,+919931569839,2023-10-25,Housing Support,2024-08-06,2025-11-18,pending,School,yes,Dr. Singh,support workers different order
CID101557,TestFirst--1557,TestLast--1557,test1557@example.com,+918774442652,2024-12-13,Addiction Counselling,2024-09-05,2025-04-16,active,School,yes,Dr. Singh,support workers lowercase
CID101558,TestFirst--1558,TestLast--1558,test1558@example.com,+918909303290,2025-10-19,Employment Assistance,2024-08-27,2022-12-06,active,Agency C,no,Dr. Singh,support workers lowercase
CID101559,TestFirst--1559,TestLast--1559,test1559@example.com,+919207174488,2023-09-29,Family Support,2024-01-23,2023-12-15,pending,Clinic,yes,Anil Verma,Duplicate-case 2 - different referral_source
CID101560,TestFirst--1560,TestLast--1560,test1560@example.com,+919435639990,2025-03-22,Counselling,2025-01-27,2023-02-04,active,Clinic,yes,"Rita Kumar,Sunil Iyer",Initial enrollment
CID101561,TestFirst--1561,TestLast--1561,test1561@example.com,+917245917347,2023-08-07,Housing Support,2024-08-24,2022-12-06,pending,Agency A,no,"Rita Kumar,Sunil Iyer",Primary enrollment
CID101562,TestFirst--1562,TestLast--1562,test1562@example.com,+919420292420,2025-01-04,Addiction Counselling,2023-11-23,2025-08-13,active,Outreach,yes,Dr. Singh,Duplicate-case 1
CID101563,TestFirst--1563,TestLast--1563,test1563@example.com,+916595064018,2024-02-24,Employment Assistance,2025-03-06,2025-11-09,discharged,Agency B,yes,"Rita Kumar, Sunil Iyer",Duplicate-case 1
CID101564,TestFirst--1564,TestLast--1564,test1564@example.com,+918384362987,2023-08-23,Family Support,2024-07-26,2024-09-03,active,Agency A,yes,Dr. Singh,Initial enrollment
CID101565,TestFirst--1565,TestLast--1565,test1565@example.com,+916098071573,2025-04-09,Counselling,2023-03-13,2025-02-16,pending,School,no,Anil Verma,Initial enrollment
CID101566,TestFirst--1566,TestLast--1566,test1566@example.com,+918402294217,2023-08-20,Housing Support,2024-09-17,2025-09-08,active,Clinic,no,Asha Patel,Duplicate-case 2 - different referral_source
CID101567,TestFirst--1567,TestLast--1567,test1567@example.com,+916612970260,2025-06-30,Addiction Counselling,2024-11-03,2024-10-12,active,School,yes,"Rita Kumar, Sunil Iyer",Duplicate-case 2 - different referral_source
CID101568,TestFirst--1568,TestLast--1568,test1568@example.com,+916302599332,2023-07-26,Employment Assistance,2023-07-21,2025-04-18,pending,Agency A,no,Dr. Singh,support workers different order
CID101569,TestFirst--1569,TestLast--1569,test1569@example.com,+916833886955,2024-09-30,Family Support,2023-02-21,2025-04-26,pending,Hospital,no,"sunil iyer, Rita Kumar",support workers different order
CID101570,TestFirst--1570,TestLast--1570,test1570@example.com,+917513942476,2023-03-21,Counselling,2025-10-26,2024-07-12,pending,Hospital,yes,"sunil iyer, Rita Kumar",Initial enrollment
CID101571,TestFirst--1571,TestLast--1571,test1571@example.com,+916388318287,2025-04-17,Housing Support,2023-01-18,2022-12-05,discharged,Agency C,yes,Sonia Rao,Initial enrollment
CID101572,TestFirst--1572,TestLast--1572,test1572@example.com,+916158097046,2025-03-30,Addiction Counselling,2023-04-28,2025-01-03,discharged,Agency A,no,Asha Patel,Duplicate-case 1
CID101573,TestFirst--1573,TestLast--1573,test1573@example.com,+917663896914,2022-12-13,Employment Assistance,2025-02-04,2025-06-17,discharged,Agency C,yes,"Rita Kumar, Sunil Iyer",Duplicate-case 1
CID101574,TestFirst--1574,TestLast--1574,test1574@example.com,+917884642838,2024-07-16,Family Support,2025-10-04,2024-10-06,discharged,Self,no,Sonia Rao,Duplicate with status difference
CID101575,TestFirst--1575,TestLast--1575,test1575@example.com,+917753694888,2024-05-19,Counselling,2023-08-26,2024-01-29,discharged,Agency A,no,"Rita Kumar, Sunil Iyer",Duplicate-case 2 - different referral_source
CID101576,TestFirst--1576,TestLast--1576,test1576@example.com,+916699629083,2024-12-08,Housing Support,2023-08-08,2023-07-13,active,Outreach,no,"sunil iyer, Rita Kumar",Initial enrollment
CID101577,TestFirst--1577,TestLast--1577,test1577@example.com,+918232446590,2025-04-02,Addiction Counselling,2023-03-14,2023-12-24,discharged,Agency B,no,"sunil iyer, Rita Kumar",support workers lowercase
CID101578,TestFirst--1578,TestLast--1578,test1578@example.com,+918340791717,2024-11-15,Employment Assistance,2025-04-18,2023-12-19,discharged,Clinic,no,Dr. Singh,Duplicate-case 2 - different referral_source
CID101579,TestFirst--1579,TestLast--1579,test1579@example.com,+919752762205,2023-09-28,Family Support,2023-11-19,2023-03-04,active,Agency C,no,Sonia Rao,Duplicate with status difference
CID101580,TestFirst--1580,TestLast--1580,test1580@example.com,+919615038907,2024-07-14,Counselling,2023-12-30,2024-12-07,pending,Agency B,yes,"Rita Kumar, Sunil Iyer",Duplicate with status difference
CID101581,TestFirst--1581,TestLast--1581,test1581@example.com,+919022460064,2025-02-15,Housing Support,2025-09-18,2023-08-11,active,Outreach,no,Anil Verma,support workers different order
CID101582,TestFirst--1582,TestLast--1582,test1582@example.com,+917102899502,2024-02-26,Addiction Counselling,2025-03-23,2025-05-01,pending,School,yes,Rita Kumar,Primary enrollment
CID101583,TestFirst--1583,TestLast--1583,test1583@example.com,+916327652306,2023-07-04,Employment Assistance,2023-09-29,2023-07-05,active,Self,yes,"sunil iyer, Rita Kumar",support workers different order
CID101584,TestFirst--1584,TestLast--1584,test1584@example.com,+917870462833,2025-08-01,Family Support,2024-09-20,2024-12-25,active,Agency A,yes,"Rita Kumar, Sunil Iyer",Primary enrollment
CID101585,TestFirst--1585,TestLast--1585,test1585@example.com,+918008541507,2023-07-06,Counselling,2024-02-05,2024-12-02,pending,Hospital,no,"sunil iyer, Rita Kumar",support workers lowercase
CID101586,TestFirst--1586,TestLast--1586,test1586@example.com,+918287971028,2023-03-04,Housing Support,2023-11-25,2023-08-22,discharged,Agency C,yes,Dr. Singh,support workers lowercase
CID101587,TestFirst--1587,TestLast--1587,test1587@example.com,+916015294327,2025-02-06,Addiction Counselling,2025-01-19,2024-08-29,pending,Agency A,yes,Rita Kumar,support workers lowercase
CID101588,TestFirst--1588,TestLast--1588,test1588@example.com,+917856454631,2025-01-15,Employment Assistance,2025-08-25,2024-05-07,active,School,no,"Rita Kumar, Sunil Iyer",support workers lowercase
CID101589,TestFirst--1589,TestLast--1589,test1589@example.com,+916405238363,2025-07-25,Family Support,2024-09-04,2023-06-30,pending,Hospital,yes,Sonia Rao,Duplicate-case 2 - different referral_source
CID101590,TestFirst--1590,TestLast--1590,test1590@example.com,+917037399444,2025-03-09,Counselling,2024-12-19,2024-02-03,pending,Agency A,yes,Dr. Singh,Duplicate-case 1
CID101591,TestFirst--1591,TestLast--1591,test1591@example.com,+918611834858,2025-04-28,Housing Support,2022-12-18,2025-03-08,pending,Self,yes,Asha Patel,Duplicate with status difference
CID101592,TestFirst--1592,TestLast--1592,test1592@example.com,+919231407383,2024-09-29,Addiction Counselling,2023-12-07,2023-12-01,discharged,Hospital,no,"Rita Kumar, Sunil Iyer",Primary enrollment
CID101593,TestFirst--1593,TestLast--1593,test1593@example.com,+919171000850,2024-02-21,Employment Assistance,2024-10-16,2025-09-20,discharged,Self,yes,Rita Kumar,support workers lowercase
CID101594,TestFirst--1594,TestLast--1594,test1594@example.com,+919261551985,2023-09-17,Family Support,2023-06-01,2024-12-02,discharged,Agency A,no,"sunil iyer, Rita Kumar",Primary enrollment
CID101595,TestFirst--1595,TestLast--1595,test1595@example.com,+917157055846,2025-08-01,Counselling,2024-08-31,2023-03-19,active,Agency A,yes,Dr. Singh,Duplicate with status difference
CID101596,TestFirst--1596,TestLast--1596,test1596@example.com,+916144707021,2023-11-10,Housing Support,2022-12-26,2023-04-25,active,School,yes,"sunil iyer, Rita Kumar",Duplicate-case 2 - different referral_source
CID101597,TestFirst--1597,TestLast--1597,test1597@example.com,+918926715481,2023-08-27,Addiction Counselling,2024-11-01,2024-12-25,discharged,Agency C,yes,Sonia Rao,support workers different order
CID101598,TestFirst--1598,TestLast--1598,test1598@example.com,+916422814980,2023-08-15,Employment Assistance,2024-05-28,2024-06-23,active,School,yes,Asha Patel,Duplicate-case 2 - different referral_source
CID101599,TestFirst--1599,TestLast--1599,test1599@example.com,+916936112556,2024-08-09,Family Support,2024-04-24,2025-04-28,active,Self,yes,Rita Kumar,Duplicate-case 2 - different referral_source
CID101600,TestFirst--1600,TestLast--1600,test1600@example.com,+917124834984,2024-10-01,Counselling,2025-01-21,2025-08-08,pending,Agency C,no,Asha Patel,support workers lowercase
CID101601,TestFirst--1601,TestLast--1601,test1601@example.com,+918760934249,2024-03-09,Housing Support,2024-11-12,2024-12-31,pending,Clinic,yes,"sunil iyer, Rita Kumar",Primary enrollment
CID101602,TestFirst--1602,TestLast--1602,test1602@example.com,+918646030045,2023-07-03,Addiction Counselling,2023-01-05,2025-09-28,active,Self,yes,Rita Kumar,support workers different order
CID101603,TestFirst--1603,TestLast--1603,test1603@example.com,+917140240102,2025-03-29,Employment Assistance,2023-03-06,2024-05-25,pending,Agency B,yes,Sonia Rao,support workers lowercase
CID101604,TestFirst--1604,TestLast--1604,test1604@example.com,+916486961518,2025-11-22,Family Support,2023-12-17,2024-09-04,active,Agency B,no,Sonia Rao,Duplicate with status difference
CID101605,TestFirst--1605,TestLast--1605,test1605@example.com,+918681650795,2025-09-13,Counselling,2023-01-02,2024-02-03,active,Agency A,yes,"Rita Kumar,Sunil Iyer",Primary enrollment
CID101606,TestFirst--1606,TestLast--1606,test1606@example.com,+917903568724,2023-11-09,Housing Support,2024-03-21,2025-05-15,pending,Self,no,Rita Kumar,Duplicate-case 2 - different referral_source
CID101607,TestFirst--1607,TestLast--1607,test1607@example.com,+917780510680,2023-05-30,Addiction Counselling,2024-02-27,2025-01-09,pending,Agency C,yes,Sonia Rao,support workers different order
CID101608,TestFirst--1608,TestLast--1608,test1608@example.com,+916696011344,2025-05-19,Employment Assistance,2023-03-11,2025-01-14,active,Hospital,yes,Dr. Singh,Initial enrollment
CID101609,TestFirst--1609,TestLast--1609,test1609@example.com,+918215144288,2025-04-21,Family Support,2024-08-23,2024-06-03,discharged,Hospital,no,Rita Kumar,Duplicate-case 1
CID101610,TestFirst--1610,TestLast--1610,test1610@example.com,+917031577902,2023-05-16,Counselling,2025-05-08,2024-06-30,pending,Agency B,yes,Rita Kumar,Duplicate-case 1
CID101611,TestFirst--1611,TestLast--1611,test1611@example.com,+918315425098,2023-12-11,Housing Support,2025-02-26,2025-04-29,active,Agency C,yes,Anil Verma,Duplicate with status difference
CID101612,TestFirst--1612,TestLast--1612,test1612@example.com,+917832320867,2024-01-01,Addiction Counselling,2024-09-09,2025-07-07,active,Hospital,yes,Rita Kumar,support workers different order
CID101613,TestFirst--1613,TestLast--1613,test1613@example.com,+919323351659,2024-01-29,Employment Assistance,2024-06-22,2023-11-12,pending,Agency C,yes,Dr. Singh,Duplicate-case 1
CID101614,TestFirst--1614,TestLast--1614,test1614@example.com,+919908025543,2024-12-04,Family Support,2024-07-06,2025-04-21,pending,Agency B,yes,"Rita Kumar, Sunil Iyer",support workers lowercase
CID101615,TestFirst--1615,TestLast--1615,test1615@example.com,+916505242563,2022-12-05,Counselling,2025-01-12,2022-12-20,pending,Hospital,yes,Sonia Rao,support workers lowercase
CID101616,TestFirst--1616,TestLast--1616,test1616@example.com,+917205588237,2023-08-07,Housing Support,2023-09-01,2022-12-17,active,Outreach,no,"Rita Kumar, Sunil Iyer",Duplicate-case 2 - different referral_source
CID101617,TestFirst--1617,TestLast--1617,test1617@example.com,+916771860510,2023-04-27,Addiction Counselling,2025-08-04,2024-04-21,pending,Hospital,yes,Sonia Rao,Initial enrollment
CID101618,TestFirst--1618,TestLast--1618,test1618@example.com,+917759777204,2024-06-14,Employment Assistance,2024-07-13,2025-04-29,discharged,Agency B,no,"Rita Kumar, Sunil Iyer",support workers different order
CID101619,TestFirst--1619,TestLast--1619,test1619@example.com,+916690074980,2023-09-20,Family Support,2024-05-12,2025-01-14,pending,Self,yes,Sonia Rao,Duplicate-case 1
CID101620,TestFirst--1620,TestLast--1620,test1620@example.com,+916038821327,2024-04-11,Counselling,2025-03-05,2024-08-16,active,Agency C,no,Asha Patel,support workers lowercase
CID101621,TestFirst--1621,TestLast--1621,test1621@example.com,+918446508455,2025-11-08,Housing Support,2023-10-17,2024-12-21,pending,Outreach,yes,Sonia Rao,Primary enrollment
CID101622,TestFirst--1622,TestLast--1622,test1622@example.com,+917032587651,2023-04-14,Addiction Counselling,2023-02-14,2023-02-05,discharged,Outreach,yes,"Rita Kumar, Sunil Iyer",support workers lowercase
CID101623,TestFirst--1623,TestLast--1623,test1623@example.com,+918932522529,2023-08-11,Employment Assistance,2025-07-11,2023-04-11,active,Clinic,no,Rita Kumar,support workers different order
